City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Rockport,US,28.0206,-97.0544,79.03,70,0,16.11,clear sky
313,Karratha,AU,-20.7377,116.8463,84.72,64,83,14.72,broken clouds
314,Baghdad,IQ,33.3406,44.4009,58.91,36,20,3.44,few clouds
315,San Andres,CO,12.5847,-81.7006,84.22,61,40,10.36,scattered clouds
316,Atar,MR,20.5169,-13.0499,92.59,6,3,11.5,clear sky
317,Ponta Pora,BR,-22.5361,-55.7256,71.51,60,0,6.91,clear sky
318,Komsomolskiy,UZ,40.4272,71.7189,54.32,71,81,2.3,broken clouds
319,Kavaratti,IN,10.5669,72.642,82.96,65,1,0.96,clear sky
320,Peno,RU,56.9262,32.7426,30.2,91,82,15.28,light snow
321,Alindao,CF,5.0267,21.2088,88.63,31,100,7.16,overcast clouds
322,Owando,CG,-0.4819,15.8999,86.92,55,100,3.56,overcast clouds
323,Straumen,NO,63.8709,11.2999,37.4,67,96,9.31,overcast clouds
324,Nelson Bay,AU,-32.7167,152.15,72.0,96,68,10.6,light rain
325,Harper,LR,4.375,-7.7169,85.66,68,95,11.52,overcast clouds
326,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,93,100,27.63,mist
327,Tangier,MA,35.7806,-5.8137,63.75,77,40,17.27,scattered clouds
328,Los Alamos,US,35.8881,-106.307,59.67,31,0,3.44,clear sky
329,Portland,US,45.5234,-122.6762,53.62,90,100,5.75,mist
330,Pampa,US,35.5362,-100.9599,58.57,47,0,13.8,clear sky
331,Matagami,CA,49.7502,-77.6328,32.11,93,100,13.8,light snow
332,Ewa Beach,US,21.3156,-158.0072,72.59,73,0,8.05,clear sky
333,Mar Del Plata,AR,-38.0023,-57.5575,67.08,100,100,20.0,light intensity drizzle
334,Chuy,UY,-33.6971,-53.4616,68.38,72,94,16.67,overcast clouds
335,Port Augusta,AU,-32.5,137.7667,68.43,52,0,6.29,clear sky
336,Chicama,PE,-7.8447,-79.1469,68.54,71,99,5.21,overcast clouds
